"","game_id","team_1","team_2","win_1","win_2","total_active_stars","cum_final_score","total_views"
"103",21600103,"PHX","POR",28.57,57.14,0,245,16491
"104",21600104,"DAL","LAL",16.67,57.14,0,206,24491
"105",21600105,"NOP","SAC",0,37.5,2,196,9374
"106",21600106,"BKN","NYK",42.86,33.33,1,206,23224
"107",21600107,"BOS","WAS",50,16.67,2,211,11471
"108",21600108,"UTA","CHA",62.5,83.33,2,202,9833
"109",21600109,"MIN","ORL",16.67,42.86,0,230,10826
"110",21600110,"IND","PHI",42.86,0,1,237,18285
"111",21600111,"ATL","CHI",71.43,57.14,2,222,19354
"114",21600114,"HOU","SAS",57.14,71.43,2,200,30160
"115",21600115,"LAC","POR",85.71,62.5,1,191,14308
"116",21600116,"DAL","GSW",28.57,71.43,4,211,30939
"117",21600117,"NOP","MIL",0,57.14,2,218,19504
"118",21600118,"CHI","MIA",50,33.33,1,193,33327
"120",21600120,"LAL","SAC",50,44.44,1,192,21465
"121",21600121,"IND","PHI",50,0,1,214,26058
"123",21600123,"TOR","CHA",71.43,85.71,3,224,18236
"124",21600124,"ORL","UTA",37.5,55.56,1,161,8935
"125",21600125,"BOS","NYK",42.86,42.86,2,202,26413
"126",21600126,"LAC","OKC",87.5,75,2,218,34404
"127",21600127,"SAS","DET",62.5,50,1,182,18795
"128",21600128,"POR","SAC",55.56,40,1,242,19891
"129",21600129,"NOP","LAL",11.11,55.56,1,225,31346
"131",21600131,"NYK","TOR",37.5,75,3,225,28280
"135",21600135,"LAC","MIN",88.89,28.57,1,224,17917
"136",21600136,"MIA","UTA",28.57,60,1,193,7971
"137",21600137,"MIL","MEM",50,50,2,202,10469
"139",21600139,"BKN","PHX",37.5,33.33,0,226,9926
"141",21600141,"ORL","OKC",33.33,66.67,1,236,28191
"142",21600142,"LAL","MIN",60,25,0,224,27046
"143",21600143,"GSW","PHX",77.78,30,4,253,39426
"144",21600144,"DEN","POR",33.33,60,0,217,13463
"145",21600145,"ORL","IND",40,40,1,157,14038
"146",21600146,"DAL","NYK",25,33.33,1,170,21157
"150",21600150,"MIA","SAS",25,70,1,184,15588
"151",21600151,"UTA","MEM",63.64,44.44,2,198,12146
"152",21600152,"LAC","BKN",90,44.44,1,222,13046
"153",21600153,"CLE","TOR",88.89,77.78,5,238,40979
"154",21600154,"ATL","MIA",77.78,22.22,1,183,19854
"155",21600155,"MIN","CHA",33.33,66.67,1,223,16568
"156",21600156,"CHI","POR",60,63.64,1,201,18934
"157",21600157,"LAL","BKN",54.55,40,0,243,25781
"158",21600158,"PHI","WAS",10,22.22,1,211,15267
"159",21600159,"NOP","ORL",18.18,36.36,1,171,8359
"161",21600161,"BOS","DAL",50,22.22,1,173,11430
"164",21600164,"HOU","OKC",60,54.55,2,208,30143
"165",21600165,"GSW","TOR",80,70,6,248,39188
"166",21600166,"DEN","PHX",30,27.27,0,224,6777
"167",21600167,"LAC","MEM",90.91,50,2,218,21758
"168",21600168,"SAC","SAS",36.36,72.73,2,215,14713
"169",21600169,"NYK","WAS",45.45,20,2,231,23430
"171",21600171,"HOU","POR",54.55,58.33,1,235,15024
"172",21600172,"MIN","PHI",30,18.18,0,196,12168
"173",21600173,"CHI","UTA",63.64,58.33,2,162,17728
"174",21600174,"ATL","CHA",81.82,70,2,196,18471
"175",21600175,"CLE","DET",81.82,50,3,185,22137
"177",21600177,"NOP","POR",16.67,53.85,1,214,9482
"179",21600179,"BOS","GSW",54.55,81.82,5,192,31186
"180",21600180,"DAL","MEM",20,54.55,1,144,7881
"181",21600181,"DEN","TOR",36.36,63.64,2,224,15187
"182",21600182,"LAL","SAS",58.33,75,1,223,26190
"183",21600183,"LAC","SAC",83.33,33.33,2,236,14178
"184",21600184,"HOU","UTA",58.33,53.85,2,213,23656
"185",21600185,"NOP","CHA",23.08,72.73,2,237,22051
"186",21600186,"MIA","WAS",27.27,27.27,1,225,12463
"187",21600187,"DAL","ORL",18.18,41.67,0,182,9890
"188",21600188,"BOS","DET",50,46.15,1,186,15869
"189",21600189,"PHI","PHX",16.67,30.77,0,225,11301
"190",21600190,"MIN","MEM",36.36,58.33,1,164,13000
"191",21600191,"GSW","MIL",83.33,45.45,5,245,37770
"193",21600193,"ATL","NYK",75,41.67,2,198,26525
"194",21600194,"BKN","POR",33.33,50,0,238,17475
"195",21600195,"IND","OKC",46.15,61.54,1,226,33431
"197",21600197,"DEN","UTA",33.33,50,1,196,7274
"198",21600198,"CHI","LAL",61.54,53.85,1,228,29265
"199",21600199,"MIA","PHI",33.33,23.08,0,195,17913
"200",21600200,"PHX","WAS",28.57,25,1,207,10283
"202",21600202,"GSW","IND",84.62,50,4,203,29362
"204",21600204,"MIL","ORL",41.67,46.15,1,182,9893
"205",21600205,"BOS","MIN",53.85,33.33,1,192,16458
"207",21600207,"LAC","TOR",85.71,61.54,3,238,24465
"208",21600208,"NYK","POR",46.15,53.33,1,210,29689
"209",21600209,"ATL","NOP",69.23,28.57,2,206,15326
"210",21600210,"CHI","DEN",64.29,38.46,1,217,23234
"211",21600211,"LAL","OKC",50,57.14,1,220,36747
"212",21600212,"PHI","MEM",28.57,64.29,1,203,21969
"213",21600213,"SAS","CHA",78.57,61.54,2,233,22375
"214",21600214,"ORL","PHX",42.86,26.67,0,179,6173
"215",21600215,"CLE","POR",83.33,50,3,262,35224
"216",21600216,"ATL","IND",64.29,46.67,2,181,7431
"218",21600218,"MIA","DET",30.77,40,0,191,6105
"219",21600219,"HOU","TOR",64.29,57.14,3,217,14694
"221",21600221,"DEN","UTA",42.86,46.67,1,191,5940
"222",21600222,"NOP","MIN",33.33,30.77,1,213,14783
"223",21600223,"GSW","LAL",85.71,53.33,4,255,36581
"224",21600224,"SAC","OKC",35.71,53.33,2,217,14319
"225",21600225,"BOS","SAS",60,80,2,212,28987
"226",21600226,"ORL","WAS",40,30.77,1,185,14862
"227",21600227,"CLE","DAL",84.62,14.29,3,218,25988
"228",21600228,"NYK","CHA",50,57.14,2,224,27379
"230",21600230,"LAC","DET",87.5,43.75,1,205,17516
"231",21600231,"ATL","UTA",66.67,50,2,163,6643
"232",21600232,"MIL","TOR",46.15,60,3,204,15468
"233",21600233,"MIA","MEM",28.57,66.67,1,171,6767
"234",21600234,"BKN","IND",28.57,43.75,1,215,4767
"235",21600235,"DEN","OKC",40,50,1,261,23764
"236",21600236,"MIN","PHX",28.57,31.25,0,183,10789
"237",21600237,"NOP","POR",37.5,47.06,1,223,11599
"238",21600238,"GSW","LAL",86.67,50,4,194,35529
"239",21600239,"HOU","SAC",60,40,2,221,9249
"240",21600240,"SAS","WAS",81.25,35.71,2,212,19953
"241",21600241,"NYK","CHA",53.33,53.33,2,209,28648
"243",21600243,"MIA","MEM",33.33,62.5,1,217,16264
"244",21600244,"GSW","MIN",87.5,33.33,4,217,38532
"245",21600245,"CLE","PHI",85.71,25,3,220,34859
"247",21600247,"BKN","SAC",26.67,37.5,1,227,9640
"248",21600248,"MIL","ORL",42.86,37.5,1,200,8776
"249",21600249,"LAC","IND",82.35,47.06,2,161,15987
"251",21600251,"HOU","POR",62.5,50,1,244,14172
"252",21600252,"ATL","LAL",62.5,47.06,1,203,18956
"253",21600253,"SAC","WAS",41.18,33.33,2,196,16111
"254",21600254,"PHI","TOR",23.53,62.5,2,217,9669
"255",21600255,"NYK","OKC",50,55.56,2,215,30631
"256",21600256,"BOS","MIA",56.25,31.25,1,216,11282
"257",21600257,"MEM","CHA",64.71,56.25,2,189,5784
"258",21600258,"MIN","UTA",31.25,52.94,1,215,14293
"259",21600259,"ATL","GSW",58.82,88.24,5,205,37234
"260",21600260,"DET","CHA",44.44,58.82,1,201,13483
"262",21600262,"CLE","MIL",86.67,46.67,4,219,30876
"263",21600263,"NOP","LAL",33.33,50,1,193,14674
"264",21600264,"ORL","SAS",35.29,82.35,1,178,14272
"265",21600265,"HOU","UTA",64.71,55.56,2,221,13192
"266",21600267,"BOS","DET",58.82,47.37,1,235,14636
"267",21600268,"TOR","MEM",64.71,61.11,3,225,12089
"268",21600269,"CHI","LAL",62.5,47.37,1,186,27306
"269",21600270,"OKC","WAS",57.89,37.5,2,241,23238
"270",21600271,"MIN","NYK",29.41,47.06,1,210,23718
"271",21600272,"DAL","SAS",18.75,77.78,1,181,14271
"272",21600273,"DEN","MIA",41.18,29.41,0,204,7407
"273",21600274,"ATL","PHX",55.56,27.78,1,216,9606
"274",21600275,"IND","POR",50,47.37,1,240,9376
"276",21600277,"MIL","BKN",50,29.41,1,204,12311
"277",21600278,"ORL","MEM",38.89,57.89,1,189,12176
"278",21600279,"CLE","LAC",81.25,73.68,4,207,41615
"279",21600280,"MIA","UTA",33.33,57.89,1,221,13560
"280",21600281,"GSW","HOU",88.89,61.11,5,259,51648
"281",21600282,"ORL","PHI",36.84,22.22,0,193,14635
"282",21600283,"BOS","SAC",55.56,38.89,2,189,15651
"283",21600284,"LAL","TOR",50,66.67,2,193,14877
"284",21600285,"MIN","NYK",27.78,50,1,232,22862
"285",21600286,"CLE","CHI",76.47,58.82,4,216,46093
"287",21600288,"ATL","DET",52.63,50,1,206,5376
"288",21600289,"SAS","WAS",78.95,35.29,2,212,22345
"289",21600290,"DEN","HOU",38.89,63.16,1,238,13327
"290",21600291,"MIL","BKN",52.94,27.78,1,215,17952
"292",21600293,"ATL","TOR",50,68.42,2,212,10938
"293",21600294,"BOS","PHI",57.89,21.05,1,213,17192
"295",21600296,"CHI","DAL",61.11,16.67,1,189,12441
"297",21600298,"MIA","POR",36.84,50,0,191,10762
"299",21600300,"ORL","DET",40,52.38,0,190,13916
"300",21600301,"NOP","OKC",35,60,2,193,25609
"301",21600302,"NYK","SAC",52.63,36.84,2,204,23499
"302",21600303,"LAC","IND",76.19,47.37,2,213,19669
"304",21600305,"CLE","TOR",72.22,70,5,228,34190
"305",21600306,"BKN","WAS",26.32,33.33,1,231,8450
"306",21600307,"ATL","OKC",47.62,61.9,2,201,22026
"308",21600309,"MIL","SAS",55.56,80,2,193,20959
"310",21600311,"BOS","HOU",60,65,2,213,18199
"311",21600312,"DAL","CHA",21.05,55,1,210,7203
"312",21600313,"LAL","UTA",45.45,57.14,1,208,14847
"315",21600316,"MIA","NYK",35,55,1,217,24024
"316",21600317,"CHI","DET",55,50,1,193,17294
"317",21600318,"PHI","MEM",19.05,63.64,1,187,13211
"318",21600319,"MIN","SAS",30,80.95,1,196,22517
"319",21600320,"PHX","UTA",30,59.09,1,217,11534
"320",21600321,"DET","CHA",52.17,57.14,1,164,11351
"321",21600322,"BOS","ORL",57.14,45.45,0,204,12283
"323",21600324,"ATL","MIA",45.45,33.33,1,198,9010
"324",21600325,"MIL","POR",52.63,54.55,1,222,14175
"325",21600326,"HOU","LAL",66.67,43.48,1,229,13980
"326",21600327,"CLE","NYK",73.68,57.14,4,220,29581
"327",21600328,"DAL","SAC",20,35,1,209,5694
"328",21600329,"IND","PHX",47.62,28.57,1,203,6727
"329",21600330,"GSW","LAC",85.71,72.73,5,213,38097
"330",21600331,"MIN","TOR",28.57,66.67,2,234,25777
"331",21600332,"DEN","WAS",36.36,35,1,177,14510
"332",21600333,"POR","MEM",52.17,65.22,1,174,16149
"333",21600334,"NOP","PHI",31.82,18.18,1,187,13993
"334",21600335,"GSW","UTA",86.36,60.87,5,205,36514
"335",21600336,"CHI","SAS",52.38,81.82,2,186,31486
"337",21600338,"CLE","MIA",75,31.82,3,198,33149
"338",21600339,"BOS","TOR",59.09,68.18,2,195,21257
"339",21600340,"ATL","MIL",47.83,55,2,224,17048
"340",21600341,"HOU","OKC",68.18,63.64,2,201,43209
"341",21600342,"MIN","DET",27.27,50,0,207,9466
"342",21600343,"DAL","IND",19.05,50,1,214,11289
"343",21600344,"LAL","PHX",41.67,27.27,0,234,19042
"344",21600345,"NYK","SAC",54.55,38.1,2,203,22565
"345",21600346,"MIL","WAS",52.38,38.1,2,215,15249
"346",21600347,"DEN","ORL",34.78,41.67,0,234,8331
"348",21600349,"CLE","CHA",76.19,60.87,4,221,27697
"349",21600350,"CHI","MIA",54.55,30.43,1,205,15729
"351",21600352,"DAL","HOU",22.73,69.57,1,196,10651
"352",21600353,"BKN","SAS",28.57,78.26,1,231,10809
"353",21600354,"SAC","UTA",36.36,58.33,2,188,8920
"355",21600356,"PHI","DET",21.74,52,0,176,14610
"356",21600357,"BOS","OKC",56.52,60.87,1,195,28555
"357",21600358,"GSW","MIN",83.33,26.09,4,224,36628
"358",21600359,"NOP","PHX",29.17,30.43,1,239,14981
"359",21600360,"LAL","NYK",40,56.52,1,230,26368
"360",21600361,"IND","CHA",50,58.33,2,204,14695
"361",21600362,"MIL","TOR",50,69.57,3,222,14272
"362",21600363,"MIA","WAS",29.17,40.91,1,213,10950
"363",21600364,"HOU","BKN",70.83,27.27,1,240,20336
"364",21600365,"DAL","DEN",21.74,37.5,0,204,7470
"365",21600366,"LAC","POR",70.83,48,1,241,25701
"366",21600367,"LAL","SAC",38.46,34.78,1,208,14237
"368",21600369,"ATL","ORL",50,40,1,251,11283
"369",21600370,"CHI","MIN",56.52,25,1,193,16207
"370",21600371,"NOP","GSW",32,84,5,222,37723
"371",21600372,"NYK","PHX",58.33,29.17,1,224,21967
"372",21600373,"POR","OKC",46.15,62.5,1,209,17115
"374",21600375,"WAS","CHA",39.13,56,2,215,9596
"375",21600376,"LAC","ORL",72,42.31,1,221,13838
"376",21600377,"MIA","IND",32,52,1,184,9524
"379",21600380,"HOU","SAC",72,37.5,2,230,8518
"380",21600381,"DAL","DET",25,50,0,180,5489
"382",21600383,"BOS","SAS",54.17,79.17,1,209,13996
"383",21600384,"CHI","MIL",54.17,47.83,2,205,19798
"384",21600385,"NOP","IND",30.77,50,2,197,13701
"385",21600386,"DEN","POR",36,48.15,0,252,8674
"386",21600387,"PHX","SAS",32,80,1,199,14495
"387",21600388,"GSW","NYK",84.62,56,4,193,31120
"388",21600389,"WAS","DET",41.67,51.85,1,230,10338
"389",21600390,"BKN","ORL",29.17,40.74,0,229,12414
"391",21600392,"ATL","TOR",48,72,3,246,15441
"392",21600393,"CHI","MIL",52,50,2,164,11479
"394",21600395,"NOP","HOU",33.33,73.08,2,222,10596
"396",21600397,"LAC","MIA",73.08,34.62,1,200,14927
"397",21600398,"DAL","UTA",24,61.54,1,203,12686
"398",21600399,"PHX","OKC",30.77,57.69,1,215,24417
"399",21600400,"IND","DET",48.15,50,1,195,11647
"400",21600401,"ATL","CHA",50,51.85,2,206,11070
"401",21600402,"CLE","LAL",75,37.93,3,227,32129
"402",21600403,"HOU","MIN",74.07,28,1,220,24420
"403",21600404,"DEN","NYK",38.46,53.85,1,241,15253
"404",21600405,"GSW","POR",85.19,46.43,4,225,27824
"405",21600406,"LAC","WAS",74.07,44,2,227,22953
"406",21600407,"UTA","MEM",62.96,64.29,2,155,10706
"408",21600409,"ORL","TOR",42.86,69.23,2,188,8868
"410",21600411,"DAL","SAC",23.08,38.46,1,178,10608
"411",21600412,"NOP","SAS",32.14,80.77,2,213,22055
"412",21600413,"IND","WAS",50,46.15,2,212,14770
"413",21600414,"CHI","DET",50,48.28,1,195,8740
"414",21600415,"ATL","OKC",48.15,59.26,2,218,20034
"415",21600416,"MIN","PHX",26.92,29.63,0,223,7971
"416",21600417,"DAL","DEN",25.93,40.74,0,224,6684
"417",21600418,"NOP","PHI",31.03,25.93,1,201,7252
"418",21600419,"LAL","CHA",36.67,53.57,1,230,13807
"419",21600420,"BKN","TOR",26.92,70.37,2,220,5006
"420",21600421,"NYK","IND",51.85,51.72,2,229,9063
"421",21600422,"MIA","ORL",32.14,41.38,0,266,7937
"422",21600423,"CLE","MIL",76,52,4,222,20185
"423",21600424,"BOS","MEM",55.56,62.07,2,221,10935
"424",21600425,"HOU","SAS",75,81.48,2,202,20773
"425",21600426,"DEN","LAC",42.86,71.43,1,221,6555
"428",21600429,"CLE","MIL",76.92,50,4,215,21277
"429",21600430,"ATL","MIN",50,29.63,1,176,9723
"430",21600431,"MEM","DET",60,46.67,1,184,5056
"431",21600432,"CHI","WAS",51.85,44.44,2,204,9090
"432",21600433,"NOP","OKC",33.33,57.14,2,231,12199
"433",21600434,"SAC","UTA",39.29,62.07,2,187,8904
"434",21600435,"HOU","PHX",72.41,28.57,1,236,8405
"435",21600436,"DAL","POR",25,43.33,0,191,10124
"436",21600437,"GSW","BKN",86.21,25.93,3,218,25436
"438",21600439,"LAL","MIA",35.48,31.03,0,222,14238
"439",21600440,"BOS","IND",57.14,50,2,211,10481
"440",21600441,"LAC","SAS",72.41,82.14,2,207,20557
"441",21600442,"CHI","CHA",50,55.17,2,194,10035
"442",21600443,"LAL","ORL",34.38,41.94,0,199,9226
"445",21600446,"GSW","DET",86.67,45.16,4,232,26312
"446",21600447,"MIL","WAS",48.15,46.43,2,219,4129
"448",21600449,"NOP","MIA",32.26,33.33,1,178,3895
"449",21600450,"MIN","SAC",32.14,41.38,1,214,7669
"450",21600451,"ATL","DEN",48.28,41.38,1,217,7373
"451",21600452,"TOR","UTA",71.43,60,3,202,6959
"454",21600455,"DAL","LAC",27.59,73.33,1,178,11272
"455",21600456,"BOS","NYK",56.67,55.17,2,233,32984
"456",21600457,"CLE","GSW",78.57,87.1,7,217,70992
"457",21600458,"CHI","SAS",48.28,80,2,219,28199
"459",21600460,"LAC","LAL",70.97,33.33,1,213,16723
"460",21600461,"MIL","WAS",50,44.83,2,209,13057
"461",21600462,"ORL","MEM",43.75,62.5,1,214,5895
"463",21600464,"CLE","DET",79.31,43.75,3,196,17948
"464",21600465,"CHI","IND",46.67,48.39,2,175,11375
"465",21600466,"NOP","DAL",34.38,30,1,215,6402
"466",21600467,"HOU","PHX",70.97,30,1,246,6948
"467",21600468,"ATL","MIN",50,30,1,194,4242
"468",21600469,"POR","TOR",40.62,72.41,2,186,10840
"469",21600470,"DEN","LAC",40,68.75,1,208,8670
"470",21600471,"PHI","SAC",24.14,43.33,1,202,10062
"471",21600472,"BOS","MEM",58.06,60.61,2,216,13762
"472",21600473,"MIA","OKC",32.26,61.29,1,200,17396
"473",21600474,"DAL","HOU",29.03,71.88,1,230,11990
"476",21600477,"ORL","CHA",45.45,54.84,1,221,5520
"477",21600478,"ATL","NYK",48.39,53.33,2,200,19273
"478",21600479,"MIL","DET",48.28,45.45,1,213,6972
"479",21600480,"CHI","BKN",48.39,26.67,1,200,15861
"480",21600481,"NOP","LAC",36.36,66.67,2,200,9543
"482",21600483,"DEN","MIN",41.94,32.26,0,208,8962
"483",21600484,"POR","SAC",39.39,45.16,1,191,5018
"484",21600485,"GSW","TOR",84.38,73.33,6,232,24909
"485",21600486,"MIA","CHA",31.25,56.25,1,173,10835
"486",21600487,"OKC","MEM",62.5,58.82,2,194,13049
"487",21600488,"BOS","CLE",59.38,76.67,4,242,27690
"488",21600489,"PHI","UTA",23.33,59.38,1,183,7142
"489",21600490,"PHX","TOR",28.12,70.97,2,190,8096
"491",21600492,"CHI","IND",50,45.45,2,212,14318
"492",21600493,"BKN","WAS",25.81,48.39,1,213,6876
"493",21600494,"BOS","MIA",57.58,30.3,1,231,15219
"494",21600495,"NOP","NYK",38.24,51.61,2,196,9722
"496",21600497,"MIL","MIN",50,31.25,1,215,8578
"498",21600499,"POR","SAS",41.18,81.25,1,204,9983
"499",21600500,"DEN","PHI",43.75,22.58,0,246,9964
"501",21600502,"SAC","MEM",43.75,60,2,210,9211
"502",21600503,"CHI","MIL",48.48,48.39,2,212,13975
"503",21600504,"HOU","NYK",73.53,50,2,251,24143
"504",21600505,"CLE","CHA",77.42,57.58,4,230,19981
"505",21600506,"PHX","UTA",30.3,60.61,1,177,6991
"507",21600508,"ATL","SAS",51.52,81.82,2,226,26750
"509",21600510,"ORL","IND",44.12,47.06,1,221,5362
"511",21600512,"LAL","TOR",33.33,68.75,2,237,16478
"512",21600513,"MIL","OKC",50,61.76,2,192,21823
"513",21600514,"CLE","NOP",78.12,40,4,172,19793
"514",21600515,"BKN","UTA",25,61.76,1,190,5798
"515",21600516,"NYK","ORL",48.48,42.86,1,218,9428
"516",21600517,"CHI","CHA",47.06,55.88,2,229,13590
"517",21600518,"HOU","WAS",74.29,50,2,192,10859
"518",21600519,"LAC","PHX",61.11,29.41,1,207,8082
"519",21600520,"DEN","GSW",42.42,85.29,4,246,21951
"521",21600522,"BOS","UTA",58.82,62.86,2,219,11887
"522",21600523,"IND","DET",48.57,44.44,1,237,7213
"523",21600524,"DAL","WAS",29.41,48.48,1,218,6280
"524",21600525,"SAS","TOR",79.41,69.7,3,192,13106
"525",21600526,"DEN","SAC",41.18,42.42,1,233,5507
"526",21600527,"MIA","PHX",28.57,28.57,0,189,4519
"527",21600528,"LAL","MEM",32.43,61.11,1,218,12979
"528",21600529,"OKC","CHA",60,54.29,2,235,14307
"529",21600530,"ATL","ORL",52.94,44.44,1,203,4347
"530",21600531,"MIL","NYK",51.52,47.06,2,209,20377
"531",21600532,"CLE","CHI",78.79,48.57,4,200,20074
"532",21600533,"LAC","MEM",62.16,59.46,2,221,6437
"533",21600534,"GSW","POR",85.71,41.67,4,242,19689
"535",21600536,"BKN","IND",24.24,50,1,230,6150
"536",21600537,"TOR","UTA",67.65,61.11,3,194,9235
"537",21600538,"DET","CHA",43.24,55.56,1,229,7023
"539",21600540,"HOU","OKC",75,58.33,2,234,26059
"541",21600542,"LAL","POR",34.21,40.54,0,227,10563
"542",21600543,"DEN","SAS",40,80,1,226,6463
"543",21600544,"MIN","WAS",31.43,47.06,1,217,13273
"544",21600545,"HOU","ORL",75.68,43.24,1,193,16296
"545",21600546,"BOS","PHI",60,27.27,1,216,18680
"546",21600547,"CLE","BKN",76.47,23.53,3,224,24573
"547",21600548,"MIL","NYK",52.94,45.71,2,227,27051
"548",21600549,"LAL","MIA",33.33,29.73,0,227,18315
"549",21600550,"GSW","MEM",86.11,57.89,5,247,44040
"550",21600551,"LAC","SAC",63.16,42.86,2,204,11385
"552",21600553,"BOS","NOP",61.11,37.84,2,225,13719
"553",21600554,"CHI","TOR",50,68.57,3,241,29158
"554",21600555,"DEN","OKC",38.89,56.76,1,227,17459
"555",21600556,"MIN","UTA",30.56,59.46,1,186,14727
"556",21600557,"ATL","DAL",55.56,30.56,1,179,8134
"557",21600558,"SAS","CHA",80.56,54.05,2,187,12815
"558",21600559,"POR","DET",42.11,44.74,0,249,17354
"559",21600560,"BKN","PHI",22.86,26.47,0,200,15482
"560",21600561,"LAC","MIA",64.1,28.95,1,184,14475
"561",21600562,"MIL","WAS",51.43,48.57,2,208,17491
"562",21600563,"HOU","TOR",76.32,66.67,3,251,26191
"564",21600565,"CLE","PHX",77.14,32.43,3,236,26980
"565",21600566,"GSW","SAC",83.78,41.67,5,223,31344
"566",21600567,"LAL","ORL",35,42.11,0,206,12844
"567",21600568,"NOP","NYK",36.84,45.95,2,206,20937
"568",21600569,"CHI","OKC",51.35,57.89,2,203,24980
"569",21600570,"DAL","MIN",29.73,29.73,0,193,15614
"570",21600571,"CHI","WAS",50,50,1,200,23240
